As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P101745,High Priority Reopening & Maintenance,Project Management,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1542047,CONTRAT DE CONTRACTUEL POUR PRESTATION DE SERVICES AU POSTE,07/01/2016 12:00:00 AM,ANGE MUSHIGO VELU,"Congo, Democrat",ZR,Not assigned,40400,NO. 064/MITP/CI/PRO-ROUTES/2016,No
07/01/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P101745,High Priority Reopening & Maintenance,Project Management,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1542129,CONTRAT DE CONTRACTUEL POUR LES PRESTATIONS DE SERVICES AU P,07/01/2016 12:00:00 AM,JEAN-JACQUES MAKUNZA,"Congo, Democrat",ZR,Not assigned,53800,NO. 061/MITP/CI/PRO-ROUTES/2016,No
07/01/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P101745,High Priority Reopening & Maintenance,Project Management,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1545241,Contrat de Contractuel pour prestation de services au poste,07/01/2016 12:00:00 AM,AIME KABAMBA NZUM,"Congo, Democrat",ZR,Not assigned,68400,056/MITP/CI/PROROUTES/2016,No
07/01/2016 12:00:00 AM,2017,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Health Services,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Education,1544113,Provision of Consulting Services as: Specialist Physician (S,07/01/2016 12:00:00 AM,PATRICK OKAO,Uganda,UG,Not assigned,256528,PIU/HSSP: 04/2016 TA,No
07/01/2016 12:00:00 AM,2017,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Health Services,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Education,1544163,Provision of Consulting Services as: Specialist Physician (S,07/01/2016 12:00:00 AM,ATEM GEU,Canada,CA,Not assigned,256528,PIU/HSSP: 08/2016 TA,No
07/01/2016 12:00:00 AM,2017,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Institution building,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,(H)Health & social,1541772,Provision of Consulting Services as: Specialist Physician (I,07/01/2016 12:00:00 AM,CHRISTOPHER BABUA,Uganda,UG,Not assigned,110612,PIU/HSSP: 07/2016 TA,No
07/01/2016 12:00:00 AM,2017,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Institution building,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,(H)Health & social,1541787,For the provision of consulting services as: Specialist Phys,07/01/2016 12:00:00 AM,ENDALE TEFERA,Ethiopia,ET,Not assigned,128264,PIU/HSSP: 06/2016 TA,No
07/01/2016 12:00:00 AM,2017,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Training Services,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Education,1541670,For the Provision of Consulting Services As: Specialist Phys,07/01/2016 12:00:00 AM,JOHN V. SSENTAMU,Uganda,UG,Not assigned,235360,PIU/HSSP:05/2016 TA,No
07/01/2016 12:00:00 AM,2017,AFW,Senegal,SN,P087304,SN-Dakar -Diamniado Toll Highway Project,Project Management,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Transportation,1542980,Recrutement d'un Chef de l'Unite environnementale du Projet,08/01/2016 12:00:00 AM,YATMA DIEYE,France,FR,Not assigned,30525,CONTRAT NÂºAPIX/01/16,No
07/01/2016 12:00:00 AM,2017,AFW,Western Africa,3W,P152359,Ebola Emergency Response Project,Management /Technical Advice,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Social Protection,1549374,"Consultant Services for Manager, Minister Delivery Unit",07/06/2016 12:00:00 AM,S. TORNORLAH VARPILAH,Liberia,LR,Not assigned,104400,ERRP: 03/2016,No
07/01/2016 12:00:00 AM,2017,AFW,Western Africa,3W,P126663,Improved Invest Climate within OHADA,Management /Technical Advice,CONSULTANT SERVICES,Fixed Budget Selection,IBRD/IDA,Public Admin,1542018,MISE A DISPOSITION DE DEUX COLLABORATEURS A LA CCJA ET A L E,07/01/2016 12:00:00 AM,CABINET DELOITTE,Cote d'Ivoire,CI,Not assigned,77119,28/SP-OHADA/PACI/2016,No
07/01/2016 12:00:00 AM,2017,EAP,Solomon Islands,SB,P152779,Tina River Hydropower Development,Legal Advisory Services,CONSULTANT SERVICES,Individual Consultant Selection,Guarantees,Energy & Extractives,1543162,Legal Adviser for Tina River Project,07/01/2016 12:00:00 AM,Individual Consultant,Solomon Islands,SB,Not assigned,190300,2016/LEG.ADV01,No
07/01/2016 12:00:00 AM,2017,EAP,Vietnam,VN,P155260,Vietnam Climate Innovation Center (VCIC),Management /Technical Advice,CONSULTANT SERVICES,Individual Consultant Selection,Recipient Executed A,Industry & Trade/Ser,1546490,Contract with Nguyen Thi Ngoc Minh as Incubation expert,07/01/2016 12:00:00 AM,Individual Consultant,Vietnam,VN,Not assigned,25175,28/VCIC-PMU/IC,No
07/01/2016 12:00:00 AM,2017,EAP,Vietnam,VN,P155260,Vietnam Climate Innovation Center (VCIC),Management /Technical Advice,CONSULTANT SERVICES,Individual Consultant Selection,Recipient Executed A,Industry & Trade/Ser,1546507,Consultant Services contract with Nguyen Dinh Tien as commer,07/01/2016 12:00:00 AM,Individual Consultant,Vietnam,VN,Not assigned,22777,29/VCIC-PMU/IC,No
07/01/2016 12:00:00 AM,2017,ECA,Belarus,BY,P149697,Transit Corridor Improvement Project,"Works, Maintenance and Rehabilitation",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Transportation,1542226,Contract 2 The M-6 âMinsk-Grodno-Polish border (Bruzgi) ro,07/15/2016 12:00:00 AM,"JV OF JSC DST NO.3, DST NO.5, DSU NO.1",Belarus,BY,Not assigned,35989593,ICB 001/2015-2,No
07/01/2016 12:00:00 AM,2017,ECA,Belarus,BY,P149697,Transit Corridor Improvement Project,"Works, Maintenance and Rehabilitation",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Transportation,1542240,Contract 3 The M-6 âMinsk-Grodno-Polish border (Bruzgi) ro,07/15/2016 12:00:00 AM,"JV OF JSC DST NO2, SMT NO8, DST NO6",Belarus,BY,Not assigned,27686701,ICB 001/2015-3,No
07/01/2016 12:00:00 AM,2017,ECA,Belarus,BY,P149697,Transit Corridor Improvement Project,"Works, Maintenance and Rehabilitation",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Transportation,1542241,Contract 5 The M-6 âMinsk-Grodno-Polish border (Bruzgi) ro,07/15/2016 12:00:00 AM,"JV OF JSC DST NO2, SMT NO8, DST NO6",Belarus,BY,Not assigned,17486563,ICB 001/2015-5,No
07/01/2016 12:00:00 AM,2017,ECA,Belarus,BY,P149697,Transit Corridor Improvement Project,"Works, Maintenance and Rehabilitation",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Transportation,1542248,Contract 1 The M-6 âMinsk-Grodno-Polish border (Bruzgi) ro,07/15/2016 12:00:00 AM,"JV OF JSC DST NO2, SMT NO8, DST NO6",Belarus,BY,Not assigned,30686668,ICB 001/2015-1,No
07/01/2016 12:00:00 AM,2017,ECA,Belarus,BY,P149697,Transit Corridor Improvement Project,"Works, Maintenance and Rehabilitation",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Transportation,1542252,Contract 4 The M-6 âMinsk-Grodno-Polish border (Bruzgi) ro,07/15/2016 12:00:00 AM,"JV OF JSC DST NO.3, DST NO.5, DSU NO.1",Belarus,BY,Not assigned,29051847,ICB 001/2015-4,No
07/01/2016 12:00:00 AM,2017,ECA,Kyrgyz Republic,KG,P125689,KG Financial Sector Development Project,Financial Services,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Financial Sector,1543479,Capacity Building in Financial Services Management for the K,07/04/2016 12:00:00 AM,"IOS PARTNERS, INC.",United States,US,Florida,240165,FSDP/CS/2.2.3/2015,No
07/01/2016 12:00:00 AM,2017,ECA,Kyrgyz Republic,KG,P125689,KG Financial Sector Development Project,Financial Services,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Financial Sector,1543479,Capacity Building in Financial Services Management for the K,07/04/2016 12:00:00 AM,BAKER TILLY BISHKEK,Kyrgyz Republic,KG,Not assigned,240165,FSDP/CS/2.2.3/2015,No
07/01/2016 12:00:00 AM,2017,LCR,Brazil,BR,P106768,BR Rio de Janeiro Public Management,Other Operational Services,NON-CONSULTING SERVICES,National Competitive Bidding,IBRD/IDA,Public Admin,1543131,The Addendum's objective is the quantitative and qualitative,08/30/2016 12:00:00 AM,EXTREME DIGITAL CONSULTORIA LTDA,Brazil,BR,Not assigned,303344,TERMO ADITIVO AO CONTRATO 02/16,No
07/01/2016 12:00:00 AM,2017,MNA,West Bank and G,GZ,P111394,GZ:Teacher Education Improvement Project,Education Services,CONSULTANT SERVICES,Individual Consultant Selection,Special Finc.,Education,1541910,consultant will perform the services during the period July,07/11/2016 12:00:00 AM,Individual Consultant,West Bank and G,GZ,Not assigned,41000,AQAC TEIP AF 1,No
07/02/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P145747,DRC: Strengthening PFMA,Equipment Information Technology,GOODS,National Competitive Bidding,IBRD/IDA,Public Admin,1542065,ACQUISITION DES MATERIELS INFORMATIQUES POUR 75 CADRES ET AG,07/16/2016 12:00:00 AM,ESSOR EQUIPEMENT,"Congo, Democrat",ZR,Not assigned,1437860,NÃÂ° 61/PROFIT/COREF/CN/PM/07/2,No
07/02/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P145747,DRC: Strengthening PFMA,"Equipment, Transportation",GOODS,National Competitive Bidding,IBRD/IDA,Public Admin,1542863,ACQUISITION DE 200 MOTOS POUR LES REGIES FINANCIERES DES PRO,09/01/2016 12:00:00 AM,CFAO - MOTORS,"Congo, Democrat",ZR,Not assigned,590000,NO. 59/PROFIT/COREF/CN/PM/07/201,No
07/02/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P145747,DRC: Strengthening PFMA,Miscellaneous,GOODS,National Competitive Bidding,IBRD/IDA,Public Admin,1546479,ACQUISITION DES FOURNITURES ET PETITS MATERIELS DE BUREAU PO,07/15/2016 12:00:00 AM,M INTERCOM,"Congo, Democrat",ZR,Not assigned,305403,NO. 60/PROFIT/COREF/CN/PM/07/201,No
07/02/2016 12:00:00 AM,2017,AFE,"Congo, Democrat",ZR,P101745,High Priority Reopening & Maintenance,Project Management,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Transportation,1542206,CONTRAT DE CONTRACTUEL POUR PRESTATION DE SERVICES AU POSTE,07/01/2016 12:00:00 AM,CYRILLE KIBULU KAPASA,"Congo, Democrat",ZR,Not assigned,43400,NO. 065/MITP/CI/PRO-ROUTES/2016,No
07/02/2016 12:00:00 AM,2017,AFW,Central African,CF,P152512,CF - LONDO ('Stand-Up') Project,"Equipment, Transportation",GOODS,Direct Selection,IBRD/IDA,(H)Health & social,1541604,LETTRE DE MARCHE- ACQUISITION DES VELOS DES BENEFICIAIRES DE,07/04/2016 12:00:00 AM,ETABLISSEMENT LES DEUX FRERES,Central African,CF,Not assigned,56217,#,No
