As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2008 12:00:00 AM,2009,AFE,Madagascar,MG,P090615,MG-MultiSec STI/HIV/AIDS Prev II (FY06),Institution building,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Health,1276213,ORGANIZATION PROVIDING FACILITATION SERVICES IN DIANA AND SA,07/04/2008 12:00:00 AM,AGEVAREN,Madagascar,MG,Not assigned,78269,NO 010/C/PMPS-2/2008,No
07/01/2008 12:00:00 AM,2009,AFE,Madagascar,MG,P090615,MG-MultiSec STI/HIV/AIDS Prev II (FY06),Institution building,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1276213,ORGANIZATION PROVIDING FACILITATION SERVICES IN DIANA AND SA,07/04/2008 12:00:00 AM,AGEVAREN,Madagascar,MG,Not assigned,78269,NO 010/C/PMPS-2/2008,No
07/01/2008 12:00:00 AM,2009,AFE,Sao Tome and Pr,ST,P083400,ST-Gov CB TA (FY07),Miscellaneous,GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1279019,COMPUTERS & SOFTWARE FOR GOVERNANCE CAPACITY BUILDING PROJEC,07/14/2008 12:00:00 AM,CIEM LDA,Sao Tome and Pr,ST,Not assigned,472829,XV-AO/FIN,No
07/01/2008 12:00:00 AM,2009,AFE,Tanzania,TZ,P071014,TZ-HIV/AIDS APL (FY04),"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,(H)Health & social,1279415,CONTRACT FOR SUPPLY OF ELEVEN FOUR WHEEL DRIVE MOBILE VIDEO,08/26/2008 12:00:00 AM,M/S. AGRI VISUAL LIMITED,United Kingdom,GB,Not assigned,803149,TACAIDS/AGRIVISUAL/11/2007/08,No
07/01/2008 12:00:00 AM,2009,AFE,Tanzania,TZ,P087154,TZ-Water Sector Support SIL,Design Services,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Water/Sanit/Waste,1291725,PROVISION OF CONSULTANCY SERVICES FOR DETAILED ENGINEERING D,07/08/2008 12:00:00 AM,SEURECA CONSULTING ENGINEERS,France,FR,Not assigned,354834,#,No
07/01/2008 12:00:00 AM,2009,AFE,Zambia,ZM,P108882,ZM-Kasanka & Lavushi Parks GEF (FY11),Project Management,CONSULTANT SERVICES,Single Source Selection,GEF Med Size,Agriculture,1281391,CONTRACT FOR CONSULTING SERVICES,10/01/2008 12:00:00 AM,INGEBORG AKERBOOM,Zambia,ZM,Not assigned,40000,CONTRACT FOR CONSULTING SERVICES,No
07/01/2008 12:00:00 AM,2009,AFR,Africa,3A,P070256,3A-GEF Niger River Basin (FY04),Environmental Studies,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Public Admin,1284747,EVALUATION DE LA GESTION STRATEGIQUE DES DONNEES ET INFORMAT,07/31/2008 12:00:00 AM,CRC SOGEMA,Canada,CA,Not assigned,92183,02/07/ITDTE-GEF-C3/A1,No
07/01/2008 12:00:00 AM,2009,AFR,Africa,3A,P070256,3A-GEF Niger River Basin (FY04),Environmental Studies,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Public Admin,1284747,EVALUATION DE LA GESTION STRATEGIQUE DES DONNEES ET INFORMAT,07/31/2008 12:00:00 AM,CRC SOGEMA,Canada,CA,Not assigned,92183,02/07/ITDTE-GEF-C3/A1,No
07/01/2008 12:00:00 AM,2009,AFR,Africa,3A,P069258,Southern Afr Power Mrkt APL 1 (FY04),Procurement Technical Assistance,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Energy & Extractives,1278902,INTERNATIONAL EXPERT IN PROCUREMENT (EXPERT INTERNATIONAL EN,07/07/2008 12:00:00 AM,Individual Consultant,Belgium,BE,Not assigned,300361,2139/SAPMP/DG/DPM/BCECO/2008/C,No
07/01/2008 12:00:00 AM,2009,AFW,Burkina Faso,BF,P081567,BF-Ag. Diversification & Market Dvt.,Audit Services,CONSULTANT SERVICES,Quality Based Selection,IBRD/IDA,Public Admin,1283458,Financial Audit for SOFITEX,08/08/2008 12:00:00 AM,WORLDAUDIT,Burkina Faso,BF,Not assigned,258926,#,No
07/01/2008 12:00:00 AM,2009,AFW,Guinea,GN,P065129,GN-APL2 Village Comm Supp Program,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1307599,Fourniture de 179 motos,09/01/2008 12:00:00 AM,LES ETABLISSEMENTS MOUNA,Guinea,GN,Not assigned,468583,#,No
07/01/2008 12:00:00 AM,2009,EAP,Vietnam,VN,P066396,"VN-SYSTEM ENERGY, EQUITIZATION & RENEWAB","Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Energy & Extractives,1277732,PACK.1: SUPPLY OF STEEL TOWERS FOR QUANG NINH-CAM PHA 220KV,07/31/2008 12:00:00 AM,HYUNDAI-DONG ANH STEEL TOWER MANUFACTURING CO.,Vietnam,VN,Not assigned,3269303,0807/220QNCP-208,No
07/01/2008 12:00:00 AM,2009,ECA,Belarus,BY,P103889,IDF-ENVIRONMENTAL PERMITTING,Research/Development Services,CONSULTANT SERVICES,Individual Consultant Selection,IDF,Public Admin,1278755,ESTABLISHEMENT OF BAT CENTER,07/07/2008 12:00:00 AM,Individual Consultant,Czech Republic,CZ,Not assigned,13100,# 8,No
07/01/2008 12:00:00 AM,2009,ECA,Bosnia and Herz,BA,P079161,FOREST DEVT/CNSRV TA,"Works, Building",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Public Admin,1278812,IMPLEMENTATION OF PHASE II OF FORESTRY INVENTORY FOR REPUBLI,07/18/2008 12:00:00 AM,"JPS SUME REPUBLIKE SRPSKE A.D. IRPC, BANJA LUKA",Bosnia and Herz,BA,Not assigned,458135,BA-FDCP-ADDFIN-ICB-003-W-008-BL,No
07/01/2008 12:00:00 AM,2009,ECA,Bosnia and Herz,BA,P079161,FOREST DEVT/CNSRV TA,"Works, Building",CIVIL WORKS,International Competitive Bidding,IBRD/IDA,Public Admin,1278812,IMPLEMENTATION OF PHASE II OF FORESTRY INVENTORY FOR REPUBLI,07/18/2008 12:00:00 AM,SUMA PLAN D.O.O. CELINAC,Bosnia and Herz,BA,Not assigned,458135,BA-FDCP-ADDFIN-ICB-003-W-008-BL,No
07/01/2008 12:00:00 AM,2009,ECA,Kosovo,XK,P106670,EDUC PARTICIPATION IMPROVEMENT II,Feasibility Studies,CONSULTANT SERVICES,Consultant Qualification  Selection,Recipient Executed A,Education,1277408,DESIGN AND CONDUCT A SURVEY FOR DROPOUTS FOR NON-TRANSITION,07/07/2008 12:00:00 AM,S.C. EDUCATION 2000+ CONSULTING,Kosovo,XK,Not assigned,23748,6/08-EPIP II,No
07/01/2008 12:00:00 AM,2009,ECA,North Macedonia,MK,P089859,LEG/JUD IMPLMNT & INST SPPRT,Equipment Information Technology,GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1278315,SUPPLY OF OFFICE FURNITURE FOR BASIC COURT PRILEP,07/02/2008 12:00:00 AM,KARPE ART DOO,North Macedonia,MK,Not assigned,313033,ICB 007-08,No
07/01/2008 12:00:00 AM,2009,ECA,North Macedonia,MK,P091723,MK TTFSE 2,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Transportation,1288567,Consulting Services for Civil Works,07/07/2008 12:00:00 AM,Individual Consultant,North Macedonia,MK,Not assigned,6614,CIVIL WORKS SERVICES,No
07/01/2008 12:00:00 AM,2009,ECA,Poland,PL,P065270,POST-ACC RUR SPPRT,Management /Technical Advice,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,(H)Health & social,1281687,MODERATORS SERVICES FOR GMINAS,08/06/2008 12:00:00 AM,STOWARZYSZENIE CENTRUM WSPIERANIA AKTYWNOSCI LOKALNEJ CAL,Poland,PL,Not assigned,249704,BAB/280/08/2008/UCP/DAE,No
07/01/2008 12:00:00 AM,2009,ECA,Tajikistan,TJ,P057883,DUSHANBE WS,Training Services,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Water/Sanit/Waste,1276819,"TRAINING OF ACCOUNTANT STAFF OF ""DUSHANBEVODOKANAL""",08/07/2008 12:00:00 AM,SOCIAL INSTITUTE FOR PROFESSIONAL ACCOUNTANTS AND AUDITORS O,Tajikistan,TJ,Not assigned,11385,DWSP 009,No
07/01/2008 12:00:00 AM,2009,ECA,Ukraine,UA,P075231,SOC ASST SYS MOD,Hardware/Software Services,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,(H)Health & social,1284271,Independant Software examination,08/19/2008 12:00:00 AM,MIRATECH,Ukraine,UA,Not assigned,502584,4807-46,No
07/01/2008 12:00:00 AM,2009,LCR,Brazil,BR,P069934,BR-PERNAMBUCO INTEG DEVT: EDUC QUAL IMPR,Hardware/Software Services,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Education,1278744,CONSULTANCY WORK FOR THE STANDARDIZATION OF TECHNOLOGICAL SE,10/22/2008 12:00:00 AM,CENTRO DE TECNOLOGIA DE SOFTWARE DE BRASILIA - TECSOFT BRASI,Brazil,BR,Not assigned,248939,042/2008,No
07/01/2008 12:00:00 AM,2009,LCR,Haiti,HT,P098531,HT Electricity Project,Management /Technical Advice,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Energy & Extractives,1276875,TECHNICAL SUPPORT IN REORGANIZING EDH'S FRAUD DEPARTMENT,07/10/2008 12:00:00 AM,Individual Consultant,Canada,CA,Not assigned,17600,BOUCIF BELHACHEMI,No
07/01/2008 12:00:00 AM,2009,LCR,Haiti,HT,P098531,HT Electricity Project,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Energy & Extractives,1276899,PREPARATION OF DOCUMENTS AND SUPERVISION OF INSTALLATION OF,08/04/2008 12:00:00 AM,Individual Consultant,Argentina,AR,Not assigned,24500,SERGIO HUGO AGOFF,No
07/01/2008 12:00:00 AM,2009,LCR,Haiti,HT,P098531,HT Electricity Project,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Energy & Extractives,1276902,DEVELOPMENT OF IP TRANSMISSION SYSTEM/COMMUNICATIONS PROTOCO,07/02/2008 12:00:00 AM,Individual Consultant,Uruguay,UY,Not assigned,20400,ALEJANDRO MAS BEVC DE ALAVA,No
07/01/2008 12:00:00 AM,2009,LCR,Haiti,HT,P095523,HT Transport and Territorial Devopment,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Transportation,1279341,PROJECT COORDINATOR,07/04/2008 12:00:00 AM,Individual Consultant,Haiti,HT,Not assigned,46800,RAYMOND HENRY DELINOIS,No
07/01/2008 12:00:00 AM,2009,LCR,Jamaica,JM,P106622,JM Second HIV/AIDS Project,Miscellaneous,GOODS,Direct Selection,IBRD/IDA,(H)Health & social,1283149,"Reprint of Information, Education and Communication (IEC) Ma",09/04/2008 12:00:00 AM,LITHOGRAPHIC PRINTERS,Jamaica,JM,Not assigned,12470,LITHOGRAPHIC PRINTERS,No
07/01/2008 12:00:00 AM,2009,LCR,Jamaica,JM,P106622,JM Second HIV/AIDS Project,Miscellaneous,GOODS,Direct Selection,IBRD/IDA,(H)Health & social,1283150,Reprint of Information Education and Communication (IEC) Mat,09/12/2008 12:00:00 AM,PEER TREE PRESS,Jamaica,JM,Not assigned,27033,PEER TREE PRESS,No
07/01/2008 12:00:00 AM,2009,LCR,Mexico,MX,P066321,MX: III BASIC HEALTH CARE PROJECT,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,(H)Health & social,1282079,ADQUISICION DE EQUIPO OFTALMOLOGICO BASICO,07/21/2008 12:00:00 AM,MAQUINAS DE DIBUJO.,Mexico,MX,Not assigned,102011,PROCEDES-001-08,No
07/01/2008 12:00:00 AM,2009,LCR,Mexico,MX,P066321,MX: III BASIC HEALTH CARE PROJECT,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,(H)Health & social,1282168,"EQUIPO DE INSTRUMENTAL CORTO PARA MICROCIRUGIA II, EQUIPO DE",07/21/2008 12:00:00 AM,"GALERIA MEDICA DEL NORTE, S.A. DE C.V.",Mexico,MX,Not assigned,12325,PROCEDES-008-08,No
07/01/2008 12:00:00 AM,2009,LCR,Mexico,MX,P066321,MX: III BASIC HEALTH CARE PROJECT,"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,(H)Health & social,1282169,JABONERA DE PEDAL Y EQUIPO DE CIRUGIA DE GLAUCOMA Y CATARATA,07/21/2008 12:00:00 AM,"PRODISUN, S.A., C.V.",Mexico,MX,Not assigned,13218,PROCEDES-012-08,No
