As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/06/2018 12:00:00 AM,2019,ECA,Moldova,MD,P127734,TaOthers Administration Modernization Project,Not assigned,GOODS,Request for Bids,IBRD/IDA,Others,1562849,a lot of 400 computer equipment and system operating equipme,07/24/2018 12:00:00 AM,BASS SYSTEMS SRL,Moldova,MD,Not assigned,548344,TAMP/4/NCB-2,No
07/06/2018 12:00:00 AM,2019,ECA,Turkey,TR,P152799,Health System Strengthening & Support,Health Services,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Health,1562307,Public Health Specialist,09/03/2018 12:00:00 AM,Individual Consultant,Turkey,TR,Not assigned,7035,THSK/2018/CS/L.2.18.3/IC/2,No
07/06/2018 12:00:00 AM,2019,LCR,Brazil,BR,P126452,BR MST Rio Grande do Norte Regional Dev,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Public Admin,1562652,"RN 118 - RECUPERAÇÃO ESTRUTURAL, DRENAGEM, SINALIZAÇÃO E MEL",08/28/2018 12:00:00 AM,COSAMPA PROJETOS E CONSTRUÇÕES LTDA,Brazil,BR,Not assigned,2740515,ID99 CW,No
07/06/2018 12:00:00 AM,2019,LCR,Brazil,BR,P126452,BR MST Rio Grande do Norte Regional Dev,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Public Admin,1562652,"RN 118 - RECUPERAÇÃO ESTRUTURAL, DRENAGEM, SINALIZAÇÃO E MEL",08/28/2018 12:00:00 AM,DOIS A ENGENHARIA LTDA,Brazil,BR,Not assigned,2740515,ID99 CW,No
07/06/2018 12:00:00 AM,2019,LCR,Brazil,BR,P126452,BR MST Rio Grande do Norte Regional Dev,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Public Admin,1562652,"RN 118 - RECUPERAÇÃO ESTRUTURAL, DRENAGEM, SINALIZAÇÃO E MEL",08/28/2018 12:00:00 AM,CONSTRUTORA LUIZ COSTA LTDA,Brazil,BR,Not assigned,2740515,ID99 CW,No
07/06/2018 12:00:00 AM,2019,SAR,Nepal,NP,P146344,Nepal: Grid Solar & Energy Efficiency,Not assigned,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Energy & Extractives,1563769,RFP No.: GSEEP/CS/QCBS-02: Selection Of Consulting Services,07/31/2018 12:00:00 AM,"ZHEJIAN HUAYUN ELECTRIC POWER ENGINEERING, DESIGN AND CONSTR",China,CN,Not assigned,2256540,GSEEP/CS/QCBS-02,No
07/07/2018 12:00:00 AM,2019,EAP,Papua New Guine,PG,P155087,Water Supply and Sanitation Development,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1572272,Water Supply for Bialla - Contractor Global Construction Lim,01/11/2019 12:00:00 AM,GLOBAL CONSTRUCTION LIMITED,Papua New Guine,PG,Not assigned,4773997,PG-WPNG-14724-CW-RFB,No
07/07/2018 12:00:00 AM,2019,SAR,Bangladesh,BD,P122201,"BD: Leveraging ICT Growth, Employ & Gov",Not assigned,CONSULTANT SERVICES,Direct Selection,IBRD/IDA,Info & Communication,1562593,Enhancement of Incident response capabilities of BGD e-GOV C,07/19/2018 12:00:00 AM,JOINT VENTURE OF (I) NORWAY REGISTERS DEVELOPMENT AS AND (II,Norway,NO,Not assigned,830995,REBID AF-S4,No
07/08/2018 12:00:00 AM,2019,AFE,Malawi,MW,P154185,Malawi Education Sector Improvement Proj,Not assigned,NON-CONSULTING SERVICES,Direct Selection,Recipient EOthersecuted A,Others,1576779,Supply and installation of tablet reporting system,07/10/2018 12:00:00 AM,IMPIGER TECHNOLOGIES PVT LIMITED,Uganda,UG,Not assigned,209343,MW-MOEST-56039-NC-DIR,No
07/08/2018 12:00:00 AM,2019,AFW,Senegal,SN,P160652,Gas Project Negotiations & Inst Capacity,Not assigned,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Energy & Extractives,1562470,Recrutement d'un cabinet spécialisé dans l'Ingénierie de rés,10/22/2018 12:00:00 AM,SGS SUBSURFACE CONSULTANCY,Netherlands,NL,Not assigned,1142786,C2067 18 GES RES CER UNI 2,No
07/08/2018 12:00:00 AM,2019,EAP,Vietnam,VN,P152851,Can Tho Urban Development and Resilience,Not assigned,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Transportation,1563432,CT3-CS-TV07: Independent Consultant for Auditing,07/13/2018 12:00:00 AM,CÔNG TY TNHH GRANT THORNTON (VIỆT NAM),Vietnam,VN,Not assigned,51854,CT3 CS TV07,No
07/09/2018 12:00:00 AM,2019,AFE,Ethiopia,ET,P160279,NQI Development Project,Not assigned,GOODS,Direct Selection,IBRD/IDA,Industry & Trade/Ser,1562638,procurement of spare parts for Maintenance and repair of maj,06/27/2018 12:00:00 AM,TONI TECHNIK  BAUSTOFFPRÜFSYSTEME GMBH,Germany,DE,Not assigned,4475,ET-MOST-55451-GO-DIR,No
