As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/06/2020 12:00:00 AM,2021,AFE,Eastern Africa,3E,P152822,HOA: Support to FD Impacts,Not assigned,GOODS,Direct Selection,IBRD/IDA,Social Protection,1621141,ACQUISIITION D'EQUIPEMENTS MEDICAUX ET MEDICAMENTS DEDIE AU,02/07/2018 12:00:00 AM,CAMME (CENTRALE D'ACHATS DE MATÉRIELS ET MÉDICAMENTS ESSENTI,Djibouti,DJ,Not assigned,650947,COMP1/F4/2017,No
07/06/2020 12:00:00 AM,2021,SAR,India,IN,P154990,Jhelum and Tawi Flood Recovery Proj,Not assigned,GOODS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1622926,"Design, Supply, Installation, Testing, Commissioning with An",11/07/2020 12:00:00 AM,SIEMENS LIMITED,India,IN,Not assigned,4294758,REVISED/SCADA,No
07/07/2020 12:00:00 AM,2021,AFE,Angola,AO,P166805,Electricity Sector Improvement Project,Not assigned,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Energy & Extractives,1623185,CONTRACT FOR CONSULTING SERVICES - SENIOR PROCUREMENT SPECIA,07/27/2020 12:00:00 AM,Individual Consultant,Portugal,PT,Not assigned,298637,CO 03/ESIP/MINEA/2020,No
07/07/2020 12:00:00 AM,2021,AFE,Ethiopia,ET,P131118,Ethiopia - Road Sector Support Project,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Others,1631066,"Design, Improvement Works and Management and Maintenance Ser",10/05/2020 12:00:00 AM,CHONGQING INTERNATIONAL CONSTRUCTION CORPORATION,China,CN,Not assigned,62688149,ACTIVITY NO. W/49/ICB/OC/IDA/201,No
07/07/2020 12:00:00 AM,2021,AFE,Ethiopia,ET,P131118,Ethiopia - Road Sector Support Project,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Others,1631069,"Design, Improvement Works and Management and Maintenance Ser",10/05/2020 12:00:00 AM,CHONGQING INTERNATIONAL CONSTRUCTION CORPORATION,China,CN,Not assigned,65703102,ACTIVITY NO.  W/49/ICB/OC/IDA/20,No
07/07/2020 12:00:00 AM,2021,AFW,Cote d'Ivoire,CI,P157206,Land Policy Implementation Project,Not assigned,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Others,1623194,"Recrutement d’un Cabinet pour la conception, le développemen",07/24/2020 12:00:00 AM,GEOFIT EOthersPERT,France,FR,Not assigned,1361461,CI-AFOR-109060-CS-QCBS,No
07/07/2020 12:00:00 AM,2021,AFW,Cote d'Ivoire,CI,P157206,Land Policy Implementation Project,Not assigned,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Others,1623194,"Recrutement d’un Cabinet pour la conception, le développemen",07/24/2020 12:00:00 AM,IGNFI,France,FR,Not assigned,1361461,CI-AFOR-109060-CS-QCBS,No
07/07/2020 12:00:00 AM,2021,AFW,Western Africa,3W,P154482,Sahel Irrigation Initiative Support Proj,Not assigned,CONSULTANT SERVICES,Quality Based Selection,IBRD/IDA,Agriculture,1621055,Recrutement d’un Partenaire Stratégique du CILSS pour l’appu,07/10/2020 12:00:00 AM,SOFRECO,France,FR,Not assigned,2104417,BF-CILSS-44200-CS-QBS,No
07/07/2020 12:00:00 AM,2021,EAP,Indonesia,ID,P096532,ID: Dam Operational Improvement (DOISP),Not assigned,GOODS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1624538,Pengadaan Peralatan BDSF (BasicDam Safety Facilities) OP-GD-,08/10/2020 12:00:00 AM,PT. FOROSTA JAYA MAKMUR,Indonesia,ID,Not assigned,972366,OP-GD-1B,No
07/07/2020 12:00:00 AM,2021,EAP,Indonesia,ID,P096532,ID: Dam Operational Improvement (DOISP),Not assigned,GOODS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1624538,Pengadaan Peralatan BDSF (BasicDam Safety Facilities) OP-GD-,08/10/2020 12:00:00 AM,PT. JUCINDO UTAMA MANDIRI,Indonesia,ID,Not assigned,972366,OP-GD-1B,No
07/07/2020 12:00:00 AM,2021,LCR,Nicaragua,NI,P111795,NI PFM Modernization TAL,Not assigned,CONSULTANT SERVICES,Direct Selection,IBRD/IDA,Others,1621088,Contrato N° 746-2018 Oficial de Adquisiciones y Contratacion,12/18/2018 12:00:00 AM,HELGA PATRICIA MEMBREÑO VELÁSQUEZ,Nicaragua,NI,Not assigned,31782,NI-MHCP-88553-CS-CDS,No
07/07/2020 12:00:00 AM,2021,LCR,St Maarten,SOthers,P167339,Sint Maarten Emergency Recovery Project,Not assigned,CONSULTANT SERVICES,Individual Consultant Selection,Recipient EOthersecuted A,Others,1645192,Procurement Assistant,01/16/2020 12:00:00 AM,Individual Consultant,St Maarten,SOthers,Not assigned,59242,SOthers-NRPB-126135-CS-INDV,No
