As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533520,Contrat du Gestionnaire de Projet,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,39900,102/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533527,Contrat du Coordonnateur de la CMRAP,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,42000,103/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533588,Contrat du Responsable Administratif et Financier du Projet,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,30810,099/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533590,Contrat du Comptable,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,15862,100/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533595,Contrat du Responsable Technique de la Réforme,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,30810,097/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P122229,DRC Public Service Reform and Rejuv,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1533596,Contrat de l'Expert en Passation des Marchés du Projet/PRRAP,07/01/2015 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,30810,098/PRRAP/GP/EPM/06/2015,No
07/01/2015 12:00:00 AM,2016,AFE,"Congo, Democrat",ZR,P101745,High Priority Reopening & Maintenance,Construction Supervision,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Transportation,1533394,Contrat de Consultants (firme) pour prestation de service de,07/24/2015 12:00:00 AM,SGI,Luxembourg,LU,Not assigned,296783,057/MITP/CI/PROROUTES/2015,No
07/01/2015 12:00:00 AM,2016,AFE,South Sudan,SS,P144038,Procurement Capacity Development Support,Institution building,CONSULTANT SERVICES,Consultant Qualification  Selection,IDF,Public Admin,1541252,EASTERN AND SOUTHERN AFRICAN MANAGEMENT INSTITUTE (ESAMI),07/07/2015 12:00:00 AM,EASTERN & SOUTHERN AFRICAN MNGT INST (ESAMI),Tanzania,TZ,Not assigned,269355,MOFEP/PPU/PCDSP/2.2.1,No
07/01/2015 12:00:00 AM,2016,AFE,South Sudan,SS,P127079,SS-Local Governance&Service Delivery,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1543109,CONTRACT FOR CONSULTING SERVICES - STATE ACCOUNTANT FOR WARR,07/03/2015 12:00:00 AM,Individual Consultant,South Sudan,SS,Not assigned,48000,MOFEP/LGSDP/PMU/CS/2.8.2/15,No
07/01/2015 12:00:00 AM,2016,AFR,Africa,3A,P099833,CEMAC Regional Institutions Support,Management /Technical Advice,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Public Admin,1541689,ETUDE POUR LA CREATION ET MISE EN OEUVRE AU SEIN DE LA BDEAC,07/15/2015 12:00:00 AM,MOVALIS,France,FR,Not assigned,228401,045/BEAC-BDEAC/PRCIRC/UGRIF/2015,No
