As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2006 12:00:00 AM,2007,AFE,Zambia,ZM,P071985,ZM-Road Rehab Maintenance Prj (FY04),Management /Technical Advice,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Transportation,1256716,CONSULTANCY SERVICES FOR DETAILED ENGINEERING DESIGNS AND PR,07/07/2006 12:00:00 AM,"SHELADIA ASSOCIATES, INC",United States,US,Maryland,376682,"CONTRACT SIGNED JULY 7, 2006",No
07/01/2006 12:00:00 AM,2007,ECA,Bosnia and Herz,BA,P088663,HLT SEC ENHANC,Institution building,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,(H)Health & social,1265973,HSEP PROJECT COORDINATOR,07/01/2006 12:00:00 AM,Individual Consultant,Bosnia and Herz,BA,Not assigned,5782,BA/FBIH/HSEP/CS/IC-14/06,No
07/01/2006 12:00:00 AM,2007,LCR,Uruguay,UY,P068124,UY Energy Efficiency Project,Management /Technical Advice,CONSULTANT SERVICES,Single Source Selection,GEF,Energy & Extractives,1263833,DEVELOPMENT OF TECHNICAL NORMS AND GUIDELINES,10/05/2006 12:00:00 AM,INSTITUTO URUGUAYO DE NORMAS TECNICAS-UNIT,Uruguay,UY,Not assigned,228260,009-2006,No
07/02/2006 12:00:00 AM,2007,MNA,"Yemen, Republic",RY,P043255,RY Basic Education Expansion Project,"Equipment, Educational",GOODS,International Competitive Bidding,IBRD/IDA,Education,1261391,"PROCUREMENT, DELIVERY AND INSTALLATION OF TEACHING AIDS FOR",08/05/2006 12:00:00 AM,MIDSUPPLY CO. LTD.,"Yemen, Republic",RY,Not assigned,338460,GBE1-4/06,No
07/02/2006 12:00:00 AM,2007,MNA,"Yemen, Republic",RY,P043255,RY Basic Education Expansion Project,"Equipment, Educational",GOODS,International Competitive Bidding,IBRD/IDA,Education,1262949,"SUPPLY, INSTALLATION AND COMMISSIONING OF TEACHING AIDS",08/05/2006 12:00:00 AM,MIDSUPPLY CO. LTD.,"Yemen, Republic",RY,Not assigned,338460,GBE1-4/2006 LOT#1,No
07/02/2006 12:00:00 AM,2007,MNA,"Yemen, Republic",RY,P043255,RY Basic Education Expansion Project,"Equipment, Educational",GOODS,International Competitive Bidding,IBRD/IDA,Education,1262957,"PROCUREMENT, DELIVERY & INSTALATION OF TEACHING AIDS (CHEMIS",08/02/2006 12:00:00 AM,YEMEN TRADING & CONSTRUCTION CO. LTD,"Yemen, Republic",RY,Not assigned,240380,GBE1-4/2006 LOT#2,No
07/02/2006 12:00:00 AM,2007,MNA,"Yemen, Republic",RY,P043255,RY Basic Education Expansion Project,"Equipment, Educational",GOODS,International Competitive Bidding,IBRD/IDA,Education,1262958,"PROCUREMENT, INSTALATION & COMMISSION OF TEACHING AIDS (CHEM",08/05/2006 12:00:00 AM,SHIV DIAL SUD & SONS LTD.,India,IN,Not assigned,81195,GBE1-4/2006 LOT#3,No
07/02/2006 12:00:00 AM,2007,MNA,"Yemen, Republic",RY,P043255,RY Basic Education Expansion Project,"Equipment, Educational",GOODS,International Competitive Bidding,IBRD/IDA,Education,1262959,"PROCUREMENT, DELIVERY & INSTALLATION OF TEACHING AIDS (PHYSI",08/02/2006 12:00:00 AM,YEMEN TRADING AND CONSTRUCTION COMPANY,"Yemen, Republic",RY,Not assigned,350030,GBE1-4/2006 LOT#4,No
07/03/2006 12:00:00 AM,2007,AFW,Guinea-Bissau,GW,P001001,GW-Priv Sec Rehab & Dev (FY02),"Works, Maintenance and Rehabilitation",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Public Admin,1270202,REHABILITITATION OF OLD SUPREME COURT,05/17/2007 12:00:00 AM,EDUARDO GARCIA CONSTRUÇÃO,Guinea-Bissau,GW,Not assigned,195230,EMPRESA EDUARDO GARCIA CONSTRUÇO,No
07/03/2006 12:00:00 AM,2007,EAP,China,CN,P042299,CN-Tec Coop Credit IV,Institution building,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1260612,CONSULTANT FOR SUPPORT OF CDB IN BUILDING UP CAPACITY OF COM,07/04/2006 12:00:00 AM,Individual Consultant,United Kingdom,GB,Not assigned,74194,BUILD UP CAPACITY OF COMMERCIAL,No
07/03/2006 12:00:00 AM,2007,EAP,Vietnam,VN,P077287,VN-RRD RWSS,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Water/Sanit/Waste,1262472,HAI DUONG: HD1 - DESIGN & CONST. OF DONG GIA COMMUNE WATER S,07/03/2006 12:00:00 AM,HAI DUONG URBAN DEVELOPMENT & INVESTMENT J/STOCK CO.,Vietnam,VN,Not assigned,123789,HD 01,No
07/03/2006 12:00:00 AM,2007,EAP,Vietnam,VN,P077287,VN-RRD RWSS,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Water/Sanit/Waste,1262472,HAI DUONG: HD1 - DESIGN & CONST. OF DONG GIA COMMUNE WATER S,07/03/2006 12:00:00 AM,HAI DUONG CONST.& GEO. SURVEY CONSULTING CO. LTD.,Vietnam,VN,Not assigned,123789,HD 01,No
07/03/2006 12:00:00 AM,2007,ECA,Azerbaijan,AZ,P066199,RURAL ENVIRONMENT,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Agriculture,1275576,COMPONENT MANAGER,07/07/2006 12:00:00 AM,Individual Consultant,Azerbaijan,AZ,Not assigned,2537,COMPONENT MANAGER,No
07/03/2006 12:00:00 AM,2007,ECA,Azerbaijan,AZ,P066199,RURAL ENVIRONMENT,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Industry & Trade/Ser,1275576,COMPONENT MANAGER,07/07/2006 12:00:00 AM,Individual Consultant,Azerbaijan,AZ,Not assigned,507,COMPONENT MANAGER,No
07/03/2006 12:00:00 AM,2007,ECA,Azerbaijan,AZ,P077031,RURAL ENVIRONMENT (GEF),Project Management,CONSULTANT SERVICES,Individual Consultant Selection,GEF,Agriculture,1276156,COMPONENT MANAGER,07/07/2006 12:00:00 AM,Individual Consultant,Azerbaijan,AZ,Not assigned,1332,COMPONENT MANAGER SADIGOV,No
