As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2005 12:00:00 AM,2006,AFE,Tanzania,TZ,P078387,TZ-Central Transp Corridor Prj (FY04),Feasibility Studies,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Transportation,1254001,CONSULTANCY SERVICES FOR DETAILED ENGINEERING DESIGN FOR UPG,09/30/2005 12:00:00 AM,NORCONSULT AS IN ASSOCIATION WITH NORCONSULT (TANZANIA),Norway,NO,Not assigned,735386,TANROADS/HQ/1011/2005/06,No
07/01/2005 12:00:00 AM,2006,AFW,Mali,ML,P001748,ML-Finance Sec Dev (FY00) -(PDSF),Feasibility Studies,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Financial Sector,1251854,ACTUARIAL STUDIES FOR INPS AND CRM,07/07/2005 12:00:00 AM,ACTUARIA INTERNATIONAL SAS,France,FR,Not assigned,180681,PI-13/2005-PDSF,No
07/01/2005 12:00:00 AM,2006,AFW,Sierra Leone,SL,P087203,SL-Power & Water SIL (FY05),"Equipment, Electrical",GOODS,Direct Selection,IBRD/IDA,Energy & Extractives,1252465,SUPPLY OF ELECTRICAL AND MECHANICAL SPARE PARTS FOR MITSUBIS,07/08/2005 12:00:00 AM,MITSUBISHI CORPORATION,Japan,JP,Not assigned,345684,YONTRACT SIGNED ON 07 08 2005,No
07/01/2005 12:00:00 AM,2006,AFW,Sierra Leone,SL,P087203,SL-Power & Water SIL (FY05),"Equipment, Electrical",GOODS,Shopping,IBRD/IDA,Energy & Extractives,1254213,SUPPLY OF ELECTRICAL AND MECHANICAL SPARES FOR CATERPILLAR G,07/08/2005 12:00:00 AM,SHEARGOLD LIMITED,United Kingdom,GB,Not assigned,1,SHEARGOLD,No
07/01/2005 12:00:00 AM,2006,AFW,Sierra Leone,SL,P087203,SL-Power & Water SIL (FY05),"Equipment, Mechanical",GOODS,International Competitive Bidding,IBRD/IDA,Energy & Extractives,1252466,SUPPLY OF SULZER ELECTRICAL AND MECHANICAL ENGINE SPARES TYP,07/08/2005 12:00:00 AM,BRITISH ENGINEERING SERVICES LTD. (BES),United Kingdom,GB,Not assigned,748438,CONTRACT SIGNED ON 07/08/2005,No
07/01/2005 12:00:00 AM,2006,EAP,Vietnam,VN,P062748,VN - COMMUNITY BASED RURAL INFRA.,"Works, Infrastructure",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1252990,THANH HOA:INTER-COMMUNES WORKS-UPGRADING OF VAN XUAN - XUAN,07/25/2005 12:00:00 AM,TRANSPORT & CIVIL ENGINEERING CONST. CO.(CTY XD DD & CTGT),Vietnam,VN,Not assigned,130856,THANH HOA: 01/HDXL,No
07/01/2005 12:00:00 AM,2006,ECA,Albania,AL,P066260,ROAD MAINT,"Equipment, Construction",GOODS,National Competitive Bidding,IBRD/IDA,Transportation,1251927,INSTALLATION OF SAFETY BARRIERS - NATIONAL RD. GUARDRAILS IN,07/29/2005 12:00:00 AM,FLAST,Albania,AL,Not assigned,312615,CW/NCB2005/RS4,No
07/01/2005 12:00:00 AM,2006,ECA,Albania,AL,P066260,ROAD MAINT,"Equipment, Construction",GOODS,National Competitive Bidding,IBRD/IDA,Transportation,1251927,INSTALLATION OF SAFETY BARRIERS - NATIONAL RD. GUARDRAILS IN,07/29/2005 12:00:00 AM,RS & M SHPK,Albania,AL,Not assigned,312615,CW/NCB2005/RS4,No
07/01/2005 12:00:00 AM,2006,ECA,Albania,AL,P066260,ROAD MAINT,"Works, Installation",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Transportation,1251498,INSTALLATION OF SAFETY BARRIERS WORKS ON NATIONAL ROAD FIER,07/18/2005 12:00:00 AM,ALBIT DIABRA,Albania,AL,Not assigned,124149,CW/NCB/2005/RS3,No
07/01/2005 12:00:00 AM,2006,ECA,Bulgaria,BG,P064536,CHILD WELFARE REF,Management /Technical Advice,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1254147,INTERNATIONAL CONSULTANT ON MANAGEMENT OF COMMUNITY-BASED CH,07/01/2005 12:00:00 AM,Individual Consultant,Romania,RO,Not assigned,31773,IC UNDER JSDF,No
